epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,5507.95,1.42074,0.91662,1.24664,0.92008,0.63327,0.72432,0.43275,1.28389,0.77366,1.16614,0.000240644,0.000240644,0.000240644
170,5538.84,1.39138,0.88925,1.25166,0.86826,0.65063,0.73299,0.43814,1.23648,0.76387,1.14868,0.00023357,0.00023357,0.00023357
171,5569.16,1.41402,0.91726,1.2899,0.83452,0.67094,0.72931,0.43143,1.21832,0.75434,1.14093,0.000226497,0.000226497,0.000226497
172,5600.53,1.43533,0.89894,1.26296,0.81372,0.67925,0.73616,0.43992,1.21985,0.74889,1.14372,0.000219423,0.000219423,0.000219423
173,5630.43,1.38736,0.90891,1.29077,0.82272,0.68192,0.74156,0.4433,1.2417,0.75647,1.15077,0.000212349,0.000212349,0.000212349
174,5661.67,1.42426,0.88452,1.24465,0.82702,0.68027,0.73872,0.44761,1.2364,0.75266,1.14524,0.000205276,0.000205276,0.000205276
175,5692.63,1.36175,0.88884,1.24378,0.85764,0.65119,0.72284,0.44251,1.2318,0.74744,1.14431,0.000198202,0.000198202,0.000198202
176,5723.06,1.34822,0.87532,1.23385,0.86978,0.63551,0.71842,0.44069,1.22095,0.74499,1.13749,0.000191129,0.000191129,0.000191129
177,5755.39,1.41644,0.90138,1.23043,0.84527,0.64653,0.71777,0.443,1.21475,0.74107,1.13471,0.000184055,0.000184055,0.000184055
178,5785.57,1.36088,0.88685,1.25041,0.867,0.65551,0.73368,0.44916,1.21681,0.73542,1.13473,0.000176982,0.000176982,0.000176982
179,5816.64,1.4064,0.89118,1.24522,0.84989,0.66541,0.73903,0.45262,1.20405,0.72967,1.13182,0.000169908,0.000169908,0.000169908
180,5861.92,1.38093,0.87732,1.26627,0.88231,0.67588,0.7582,0.44834,1.21102,0.73367,1.13631,0.000162835,0.000162835,0.000162835
181,5896.85,1.41026,0.9116,1.2721,0.88449,0.66249,0.75111,0.44549,1.21409,0.74136,1.13667,0.000155761,0.000155761,0.000155761
